Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
South Africa,Australia,South Africa,6 wickets,Centurion,30-Sep-16,ODI # 3785
Bangladesh,Afghanistan,Bangladesh,141 runs,Dhaka,1-Oct-16,ODI # 3786
South Africa,Australia,South Africa,142 runs,Johannesburg,2-Oct-16,ODI # 3787
Pakistan,West Indies,Pakistan,59 runs,Sharjah,2-Oct-16,ODI # 3788
Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,5-Oct-16,ODI # 3789
South Africa,Australia,South Africa,4 wickets,Durban,5-Oct-16,ODI # 3790
Bangladesh,England,England,21 runs,Dhaka,7-Oct-16,ODI # 3791
South Africa,Australia,South Africa,6 wickets,Port Elizabeth,9-Oct-16,ODI # 3792
Bangladesh,England,Bangladesh,34 runs,Dhaka,9-Oct-16,ODI # 3793
Bangladesh,England,England,4 wickets,Chattogram,12-Oct-16,ODI # 3794
South Africa,Australia,South Africa,31 runs,Cape Town,12-Oct-16,ODI # 3795
India,New Zealand,India,6 wickets,Dharamsala,16-Oct-16,ODI # 3796
India,New Zealand,New Zealand,6 runs,Delhi,20-Oct-16,ODI # 3797
India,New Zealand,India,7 wickets,Mohali,23-Oct-16,ODI # 3798
India,New Zealand,New Zealand,19 runs,Ranchi,26-Oct-16,ODI # 3799
India,New Zealand,India,190 runs,Visakhapatnam,29-Oct-16,ODI # 3800
Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok,4-Nov-16,ODI # 3801
Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok,6-Nov-16,ODI # 3802
Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok,8-Nov-16,ODI # 3803
Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,14-Nov-16,ODI # 3804
Sri Lanka,West Indies,West Indies,62 runs,Harare,16-Nov-16,ODI # 3805
Zimbabwe,West Indies,tied,,Bulawayo,19-Nov-16,ODI # 3806
Zimbabwe,Sri Lanka,no result,,Bulawayo,21-Nov-16,ODI # 3807
Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,23-Nov-16,ODI # 3808
Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,25-Nov-16,ODI # 3809
Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,27-Nov-16,ODI # 3810
Australia,New Zealand,Australia,68 runs,Sydney,4-Dec-16,ODI # 3811
Australia,New Zealand,Australia,116 runs,Canberra,6-Dec-16,ODI # 3812
Australia,New Zealand,Australia,117 runs,Melbourne,9-Dec-16,ODI # 3813
New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,26-Dec-16,ODI # 3814
New Zealand,Bangladesh,New Zealand,67 runs,Nelson,29-Dec-16,ODI # 3815
New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,31-Dec-16,ODI # 3816
