Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
New Zealand,Sri Lanka,no result,,Nelson,2-Jan-16,ODI # 3718
Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,2-Jan-16,ODI # 3719
Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,4-Jan-16,ODI # 3720
New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,5-Jan-16,ODI # 3721
Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,6-Jan-16,ODI # 3722
Australia,India,Australia,5 wickets,Perth,12-Jan-16,ODI # 3723
Australia,India,Australia,7 wickets,Brisbane,15-Jan-16,ODI # 3724
Australia,India,Australia,3 wickets,Melbourne,17-Jan-16,ODI # 3725
Australia,India,Australia,25 runs,Canberra,20-Jan-16,ODI # 3726
Australia,India,India,6 wickets,Sydney,23-Jan-16,ODI # 3727
New Zealand,Pakistan,New Zealand,70 runs,Wellington,25-Jan-16,ODI # 3728
Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,26-Jan-16,ODI # 3729
New Zealand,Pakistan,New Zealand,3 wickets,Auckland,31-Jan-16,ODI # 3730
New Zealand,Australia,New Zealand,159 runs,Auckland,3-Feb-16,ODI # 3731
South Africa,England,England,39 runs,Bloemfontein,3-Feb-16,ODI # 3732
New Zealand,Australia,Australia,4 wickets,Wellington,6-Feb-16,ODI # 3733
South Africa,England,England,5 wickets,Port Elizabeth,6-Feb-16,ODI # 3734
New Zealand,Australia,New Zealand,55 runs,Hamilton,8-Feb-16,ODI # 3735
South Africa,England,South Africa,7 wickets,Centurion,9-Feb-16,ODI # 3736
South Africa,England,South Africa,1 wicket,Johannesburg,12-Feb-16,ODI # 3737
South Africa,England,South Africa,5 wickets,Cape Town,14-Feb-16,ODI # 3738
West Indies,South Africa,West Indies,4 wickets,Providence,3-Jun-16,ODI # 3739
West Indies,Australia,Australia,6 wickets,Providence,5-Jun-16,ODI # 3740
Australia,South Africa,South Africa,47 runs,Providence,7-Jun-16,ODI # 3741
Zimbabwe,India,India,9 wickets,Harare,11-Jun-16,ODI # 3742
Australia,South Africa,Australia,36 runs,Basseterre,11-Jun-16,ODI # 3743
Zimbabwe,India,India,8 wickets,Harare,13-Jun-16,ODI # 3744
West Indies,Australia,West Indies,4 wickets,Basseterre,13-Jun-16,ODI # 3745
Zimbabwe,India,India,10 wickets,Harare,15-Jun-16,ODI # 3746
West Indies,South Africa,South Africa,139 runs,Basseterre,15-Jun-16,ODI # 3747
Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),16-Jun-16,ODI # 3748
Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),18-Jun-16,ODI # 3749
Australia,South Africa,no result,,Bridgetown,19-Jun-16,ODI # 3750
England,Sri Lanka,tied,,Nottingham,21-Jun-16,ODI # 3751
West Indies,Australia,Australia,6 wickets,Bridgetown,21-Jun-16,ODI # 3752
England,Sri Lanka,England,10 wickets,Birmingham,24-Jun-16,ODI # 3753
West Indies,South Africa,West Indies,100 runs,Bridgetown,24-Jun-16,ODI # 3754
England,Sri Lanka,no result,,Bristol,26-Jun-16,ODI # 3755
West Indies,Australia,Australia,58 runs,Bridgetown,26-Jun-16,ODI # 3756
England,Sri Lanka,England,6 wickets,The Oval,29-Jun-16,ODI # 3757
England,Sri Lanka,England,122 runs,Cardiff,2-Jul-16,ODI # 3758
Scotland,Afghanistan,no result,,Edinburgh,4-Jul-16,ODI # 3759
Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,6-Jul-16,ODI # 3760
Ireland,Afghanistan,Afghanistan,39 runs,Belfast,12-Jul-16,ODI # 3761
Ireland,Afghanistan,Ireland,6 wickets,Belfast,14-Jul-16,ODI # 3762
Ireland,Afghanistan,Afghanistan,79 runs,Belfast,17-Jul-16,ODI # 3763
Ireland,Afghanistan,Ireland,12 runs,Belfast,19-Jul-16,ODI # 3764
Scotland,U.A.E.,Scotland,98 runs,Edinburgh,14-Aug-16,ODI # 3765
Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,16-Aug-16,ODI # 3766
Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),18-Aug-16,ODI # 3767
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),21-Aug-16,ODI # 3768
Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),24-Aug-16,ODI # 3769
England,Pakistan,England,44 runs,Southampton,24-Aug-16,ODI # 3770
England,Pakistan,England,4 wickets,Lord's,27-Aug-16,ODI # 3771
Sri Lanka,Australia,Australia,2 wickets,Dambulla,28-Aug-16,ODI # 3772
England,Pakistan,England,169 runs,Nottingham,30-Aug-16,ODI # 3773
Sri Lanka,Australia,Australia,6 wickets,Dambulla,31-Aug-16,ODI # 3774
England,Pakistan,England,4 wickets,Leeds,1-Sep-16,ODI # 3775
Sri Lanka,Australia,Australia,5 wickets,Pallekele,4-Sep-16,ODI # 3776
England,Pakistan,Pakistan,4 wickets,Cardiff,4-Sep-16,ODI # 3777
Scotland,Hong Kong,no result,,Edinburgh,8-Sep-16,ODI # 3778
Scotland,Hong Kong,Scotland,53 runs,Edinburgh,10-Sep-16,ODI # 3779
South Africa,Ireland,South Africa,206 runs,Benoni,25-Sep-16,ODI # 3780
Bangladesh,Afghanistan,Bangladesh,7 runs,Dhaka,25-Sep-16,ODI # 3781
Australia,Ireland,Australia,9 wickets,Benoni,27-Sep-16,ODI # 3782
Bangladesh,Afghanistan,Afghanistan,2 wickets,Dhaka,28-Sep-16,ODI # 3783
Pakistan,West Indies,Pakistan,111 runs,Sharjah,30-Sep-16,ODI # 3784
