Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
India,Pakistan,Pakistan,85 runs,Kolkata,3-Jan-13,ODI # 3315
India,Pakistan,India,10 runs,Delhi,6-Jan-13,ODI # 3316
Australia,Sri Lanka,Australia,107 runs,Melbourne,11-Jan-13,ODI # 3317
India,England,England,9 runs,Rajkot,11-Jan-13,ODI # 3318
Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,13-Jan-13,ODI # 3319
India,England,India,127 runs,Kochi,15-Jan-13,ODI # 3320
Australia,Sri Lanka,Sri Lanka,4 wickets,Brisbane,18-Jan-13,ODI # 3321
India,England,India,7 wickets,Ranchi,19-Jan-13,ODI # 3322
South Africa,New Zealand,New Zealand,1 wicket,Paarl,19-Jan-13,ODI # 3323
Australia,Sri Lanka,no result,,Sydney,20-Jan-13,ODI # 3324
South Africa,New Zealand,New Zealand,27 runs,Kimberley,22-Jan-13,ODI # 3325
Australia,Sri Lanka,Australia,32 runs,Hobart,23-Jan-13,ODI # 3326
India,England,India,5 wickets,Mohali,23-Jan-13,ODI # 3327
South Africa,New Zealand,South Africa,1 wicket,Potchefstroom,25-Jan-13,ODI # 3328
India,England,England,7 wickets,Dharamsala,27-Jan-13,ODI # 3329
Australia,West Indies,Australia,9 wickets,Perth,1-Feb-13,ODI # 3330
Australia,West Indies,Australia,54 runs,Perth,3-Feb-13,ODI # 3331
Australia,West Indies,Australia,39 runs,Canberra,6-Feb-13,ODI # 3332
Australia,West Indies,Australia,5 wickets,Sydney,8-Feb-13,ODI # 3333
Australia,West Indies,Australia,17 runs,Melbourne,10-Feb-13,ODI # 3334
New Zealand,England,New Zealand,3 wickets,Hamilton,17-Feb-13,ODI # 3335
New Zealand,England,England,8 wickets,Napier,20-Feb-13,ODI # 3336
West Indies,Zimbabwe,West Indies,156 runs,St George's,22-Feb-13,ODI # 3337
New Zealand,England,England,5 wickets,Auckland,23-Feb-13,ODI # 3338
West Indies,Zimbabwe,West Indies,7 wickets,St George's,24-Feb-13,ODI # 3339
West Indies,Zimbabwe,West Indies,5 wickets,St George's,26-Feb-13,ODI # 3340
Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,6-Mar-13,ODI # 3341
Afghanistan,Scotland,Afghanistan,5 wickets,Sharjah,8-Mar-13,ODI # 3342
South Africa,Pakistan,South Africa,125 runs,Bloemfontein,10-Mar-13,ODI # 3343
Canada,Kenya,Kenya,6 wickets,ICCA Dubai,11-Mar-13,ODI # 3344
Canada,Kenya,Kenya,6 wickets,ICCA Dubai,13-Mar-13,ODI # 3345
South Africa,Pakistan,Pakistan,6 wickets,Centurion,15-Mar-13,ODI # 3346
South Africa,Pakistan,South Africa,34 runs,Johannesburg,17-Mar-13,ODI # 3347
South Africa,Pakistan,Pakistan,3 wickets,Durban,21-Mar-13,ODI # 3348
Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota,23-Mar-13,ODI # 3349
South Africa,Pakistan,South Africa,6 wickets,Benoni,24-Mar-13,ODI # 3350
Sri Lanka,Bangladesh,no result,,Hambantota,25-Mar-13,ODI # 3351
