Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Sri Lanka,Bangladesh,Bangladesh,3 wickets,Pallekele,28-Mar-13,ODI # 3352
Zimbabwe,Bangladesh,Bangladesh,121 runs,Bulawayo,3-May-13,ODI # 3353
Zimbabwe,Bangladesh,Zimbabwe,6 wickets,Bulawayo,5-May-13,ODI # 3354
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Bulawayo,8-May-13,ODI # 3355
Scotland,Pakistan,Pakistan,96 runs,Edinburgh,17-May-13,ODI # 3356
Ireland,Pakistan,tied,,Dublin,23-May-13,ODI # 3357
Ireland,Pakistan,Pakistan,2 wickets,Dublin,26-May-13,ODI # 3358
Netherlands,South Africa,South Africa,83 runs,Amstelveen,31-May-13,ODI # 3359
England,New Zealand,New Zealand,5 wickets,Lord's,31-May-13,ODI # 3360
England,New Zealand,New Zealand,86 runs,Southampton,2-Jun-13,ODI # 3361
England,New Zealand,England,34 runs,Nottingham,5-Jun-13,ODI # 3362
India,South Africa,India,26 runs,Cardiff,6-Jun-13,ODI # 3363
Pakistan,West Indies,West Indies,2 wickets,The Oval,7-Jun-13,ODI # 3364
England,Australia,England,48 runs,Birmingham,8-Jun-13,ODI # 3365
New Zealand,Sri Lanka,New Zealand,1 wicket,Cardiff,9-Jun-13,ODI # 3366
Pakistan,South Africa,South Africa,67 runs,Birmingham,10-Jun-13,ODI # 3367
India,West Indies,India,8 wickets,The Oval,11-Jun-13,ODI # 3368
Australia,New Zealand,no result,,Birmingham,12-Jun-13,ODI # 3369
England,Sri Lanka,Sri Lanka,7 wickets,The Oval,13-Jun-13,ODI # 3370
South Africa,West Indies,tied,,Cardiff,14-Jun-13,ODI # 3371
India,Pakistan,India,8 wickets,Birmingham,15-Jun-13,ODI # 3372
England,New Zealand,England,10 runs,Cardiff,16-Jun-13,ODI # 3373
Australia,Sri Lanka,Sri Lanka,20 runs,The Oval,17-Jun-13,ODI # 3374
England,South Africa,England,7 wickets,The Oval,19-Jun-13,ODI # 3375
India,Sri Lanka,India,8 wickets,Cardiff,20-Jun-13,ODI # 3376
England,India,India,5 runs,Birmingham,23-Jun-13,ODI # 3377
West Indies,Sri Lanka,West Indies,6 wickets,Kingston,28-Jun-13,ODI # 3378
Scotland,Kenya,Scotland,12 runs,Aberdeen,30-Jun-13,ODI # 3379
West Indies,India,West Indies,1 wicket,Kingston,30-Jun-13,ODI # 3380
Scotland,Kenya,Scotland,4 wickets,Aberdeen,"Jul 2-3, 2013",ODI # 3381
India,Sri Lanka,Sri Lanka,161 runs,Kingston,2-Jul-13,ODI # 3382
West Indies,India,India,102 runs,Port of Spain,5-Jul-13,ODI # 3383
Netherlands,Ireland,Ireland,88 runs,Amstelveen,7-Jul-13,ODI # 3384
West Indies,Sri Lanka,Sri Lanka,39 runs,Port of Spain,"Jul 7-8, 2013",ODI # 3385
Netherlands,Ireland,tied,,Amstelveen,9-Jul-13,ODI # 3386
India,Sri Lanka,India,81 runs,Port of Spain,9-Jul-13,ODI # 3387
India,Sri Lanka,India,1 wicket,Port of Spain,11-Jul-13,ODI # 3388
West Indies,Pakistan,Pakistan,126 runs,Providence,14-Jul-13,ODI # 3389
West Indies,Pakistan,West Indies,37 runs,Providence,16-Jul-13,ODI # 3390
West Indies,Pakistan,tied,,Gros Islet,19-Jul-13,ODI # 3391
Sri Lanka,South Africa,Sri Lanka,180 runs,Colombo (RPS),20-Jul-13,ODI # 3392
West Indies,Pakistan,Pakistan,6 wickets,Gros Islet,21-Jul-13,ODI # 3393
Sri Lanka,South Africa,Sri Lanka,17 runs,Colombo (RPS),23-Jul-13,ODI # 3394
Zimbabwe,India,India,6 wickets,Harare,24-Jul-13,ODI # 3395
West Indies,Pakistan,Pakistan,4 wickets,Gros Islet,24-Jul-13,ODI # 3396
Zimbabwe,India,India,58 runs,Harare,26-Jul-13,ODI # 3397
Sri Lanka,South Africa,South Africa,56 runs,Pallekele,26-Jul-13,ODI # 3398
Zimbabwe,India,India,7 wickets,Harare,28-Jul-13,ODI # 3399
Sri Lanka,South Africa,Sri Lanka,8 wickets,Pallekele,28-Jul-13,ODI # 3400
Sri Lanka,South Africa,Sri Lanka,128 runs,Colombo (RPS),31-Jul-13,ODI # 3401
Zimbabwe,India,India,9 wickets,Bulawayo,1-Aug-13,ODI # 3402
Zimbabwe,India,India,7 wickets,Bulawayo,3-Aug-13,ODI # 3403
Zimbabwe,Pakistan,Zimbabwe,7 wickets,Harare,27-Aug-13,ODI # 3404
Canada,Netherlands,no result,,King City (NW),"Aug 27-28, 2013",ODI # 3405
Zimbabwe,Pakistan,Pakistan,90 runs,Harare,29-Aug-13,ODI # 3406
Canada,Netherlands,Netherlands,9 wickets,King City (NW),29-Aug-13,ODI # 3407
Zimbabwe,Pakistan,Pakistan,108 runs,Harare,31-Aug-13,ODI # 3408
Ireland,England,England,6 wickets,Dublin (Malahide),3-Sep-13,ODI # 3409
Scotland,Australia,Australia,200 runs,Edinburgh,3-Sep-13,ODI # 3410
Ireland,Scotland,Ireland,1 wicket,Belfast,6-Sep-13,ODI # 3411
England,Australia,Australia,88 runs,Manchester,8-Sep-13,ODI # 3412
Ireland,Scotland,Ireland,7 wickets,Belfast,8-Sep-13,ODI # 3413
England,Australia,no result,,Birmingham,11-Sep-13,ODI # 3414
England,Australia,England,3 wickets,Cardiff,14-Sep-13,ODI # 3415
England,Australia,Australia,49 runs,Southampton,16-Sep-13,ODI # 3416
Afghanistan,Kenya,Afghanistan,8 wickets,Sharjah,2-Oct-13,ODI # 3417
Afghanistan,Kenya,Afghanistan,7 wickets,Sharjah,4-Oct-13,ODI # 3418
India,Australia,Australia,72 runs,Pune,13-Oct-13,ODI # 3419
India,Australia,India,9 wickets,Jaipur,16-Oct-13,ODI # 3420
India,Australia,Australia,4 wickets,Mohali,19-Oct-13,ODI # 3421
India,Australia,no result,,Ranchi,23-Oct-13,ODI # 3422
Bangladesh,New Zealand,Bangladesh,43 runs,Dhaka,29-Oct-13,ODI # 3423
India,Australia,India,6 wickets,Nagpur,30-Oct-13,ODI # 3424
Pakistan,South Africa,South Africa,1 run,Sharjah,30-Oct-13,ODI # 3425
Bangladesh,New Zealand,Bangladesh,40 runs,Dhaka,31-Oct-13,ODI # 3426
Pakistan,South Africa,Pakistan,66 runs,Dubai (DSC),1-Nov-13,ODI # 3427
India,Australia,India,57 runs,Bengaluru,2-Nov-13,ODI # 3428
Bangladesh,New Zealand,Bangladesh,4 wickets,Fatullah,3-Nov-13,ODI # 3429
Pakistan,South Africa,South Africa,68 runs,Abu Dhabi,6-Nov-13,ODI # 3430
Pakistan,South Africa,South Africa,28 runs,Abu Dhabi,8-Nov-13,ODI # 3431
Sri Lanka,New Zealand,no result,,Hambantota,10-Nov-13,ODI # 3432
Pakistan,South Africa,South Africa,117 runs,Sharjah,11-Nov-13,ODI # 3433
Sri Lanka,New Zealand,New Zealand,4 wickets,Hambantota,12-Nov-13,ODI # 3434
Sri Lanka,New Zealand,Sri Lanka,36 runs,Dambulla,16-Nov-13,ODI # 3435
India,West Indies,India,6 wickets,Kochi,21-Nov-13,ODI # 3436
India,West Indies,West Indies,2 wickets,Visakhapatnam,24-Nov-13,ODI # 3437
South Africa,Pakistan,Pakistan,23 runs,Cape Town,24-Nov-13,ODI # 3438
India,West Indies,India,5 wickets,Kanpur,27-Nov-13,ODI # 3439
South Africa,Pakistan,Pakistan,1 run,Port Elizabeth,27-Nov-13,ODI # 3440
South Africa,Pakistan,South Africa,4 wickets,Centurion,30-Nov-13,ODI # 3441
South Africa,India,South Africa,141 runs,Johannesburg,5-Dec-13,ODI # 3442
South Africa,India,South Africa,134 runs,Durban,8-Dec-13,ODI # 3443
South Africa,India,no result,,Centurion,11-Dec-13,ODI # 3444
Pakistan,Sri Lanka,Pakistan,11 runs,Sharjah,18-Dec-13,ODI # 3445
Pakistan,Sri Lanka,Sri Lanka,2 wickets,Dubai (DSC),20-Dec-13,ODI # 3446
Pakistan,Sri Lanka,Pakistan,113 runs,Sharjah,22-Dec-13,ODI # 3447
Pakistan,Sri Lanka,Pakistan,8 wickets,Abu Dhabi,25-Dec-13,ODI # 3448
New Zealand,West Indies,West Indies,2 wickets,Auckland,26-Dec-13,ODI # 3449
Pakistan,Sri Lanka,Sri Lanka,2 wickets,Abu Dhabi,27-Dec-13,ODI # 3450
