Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Australia,Pakistan,Australia,92 runs,Brisbane,13-Jan-17,ODI # 3817
Australia,Pakistan,Pakistan,6 wickets,Melbourne,15-Jan-17,ODI # 3818
India,England,India,3 wickets,Pune,15-Jan-17,ODI # 3819
Australia,Pakistan,Australia,7 wickets,Perth,19-Jan-17,ODI # 3820
India,England,India,15 runs,Cuttack,19-Jan-17,ODI # 3821
Australia,Pakistan,Australia,86 runs,Sydney,22-Jan-17,ODI # 3822
Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,22-Jan-17,ODI # 3823
India,England,England,5 runs,Kolkata,22-Jan-17,ODI # 3824
U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),24-Jan-17,ODI # 3825
Australia,Pakistan,Australia,57 runs,Adelaide,26-Jan-17,ODI # 3826
U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),26-Jan-17,ODI # 3827
South Africa,Sri Lanka,South Africa,8 wickets,Port Elizabeth,28-Jan-17,ODI # 3828
New Zealand,Australia,New Zealand,6 runs,Auckland,30-Jan-17,ODI # 3829
South Africa,Sri Lanka,South Africa,121 runs,Durban,1-Feb-17,ODI # 3830
South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,4-Feb-17,ODI # 3831
New Zealand,Australia,New Zealand,24 runs,Hamilton,5-Feb-17,ODI # 3832
South Africa,Sri Lanka,South Africa,40 runs,Cape Town,7-Feb-17,ODI # 3833
South Africa,Sri Lanka,South Africa,88 runs,Centurion,10-Feb-17,ODI # 3834
Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,16-Feb-17,ODI # 3835
New Zealand,South Africa,South Africa,4 wickets,Hamilton,19-Feb-17,ODI # 3836
Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,19-Feb-17,ODI # 3837
Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,21-Feb-17,ODI # 3838
New Zealand,South Africa,New Zealand,6 runs,Christchurch,22-Feb-17,ODI # 3839
Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,24-Feb-17,ODI # 3840
New Zealand,South Africa,South Africa,159 runs,Wellington,25-Feb-17,ODI # 3841
Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,26-Feb-17,ODI # 3842
New Zealand,South Africa,New Zealand,7 wickets,Hamilton,1-Mar-17,ODI # 3843
U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,2-Mar-17,ODI # 3844
West Indies,England,England,45 runs,North Sound,3-Mar-17,ODI # 3845
New Zealand,South Africa,South Africa,6 wickets,Auckland,4-Mar-17,ODI # 3846
U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,4-Mar-17,ODI # 3847
West Indies,England,England,4 wickets,North Sound,5-Mar-17,ODI # 3848
West Indies,England,England,186 runs,Bridgetown,9-Mar-17,ODI # 3849
Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,15-Mar-17,ODI # 3850
Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,17-Mar-17,ODI # 3851
Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,19-Mar-17,ODI # 3852
Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,22-Mar-17,ODI # 3853
Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,24-Mar-17,ODI # 3854
Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,25-Mar-17,ODI # 3855
Sri Lanka,Bangladesh,no result,,Dambulla,28-Mar-17,ODI # 3856
