Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,31-Mar-17,ODI # 3857
Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),1-Apr-17,ODI # 3858
U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,2-Apr-17,ODI # 3859
U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,4-Apr-17,ODI # 3860
West Indies,Pakistan,West Indies,4 wickets,Providence,7-Apr-17,ODI # 3861
West Indies,Pakistan,Pakistan,74 runs,Providence,9-Apr-17,ODI # 3862
West Indies,Pakistan,Pakistan,6 wickets,Providence,11-Apr-17,ODI # 3863
England,Ireland,England,7 wickets,Bristol,5-May-17,ODI # 3864
England,Ireland,England,85 runs,Lord's,7-May-17,ODI # 3865
Ireland,Bangladesh,no result,,Dublin (Malahide),12-May-17,ODI # 3866
Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),14-May-17,ODI # 3867
Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,17-May-17,ODI # 3868
Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),19-May-17,ODI # 3869
Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),21-May-17,ODI # 3870
Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,24-May-17,ODI # 3871
England,South Africa,England,72 runs,Leeds,24-May-17,ODI # 3872
England,South Africa,England,2 runs,Southampton,27-May-17,ODI # 3873
England,South Africa,South Africa,7 wickets,Lord's,29-May-17,ODI # 3874
England,Bangladesh,England,8 wickets,The Oval,1-Jun-17,ODI # 3875
Australia,New Zealand,no result,,Birmingham,2-Jun-17,ODI # 3876
South Africa,Sri Lanka,South Africa,96 runs,The Oval,3-Jun-17,ODI # 3877
India,Pakistan,India,124 runs,Birmingham,4-Jun-17,ODI # 3878
Australia,Bangladesh,no result,,The Oval,5-Jun-17,ODI # 3879
England,New Zealand,England,87 runs,Cardiff,6-Jun-17,ODI # 3880
Pakistan,South Africa,Pakistan,19 runs,Birmingham,7-Jun-17,ODI # 3881
India,Sri Lanka,Sri Lanka,7 wickets,The Oval,8-Jun-17,ODI # 3882
Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,9-Jun-17,ODI # 3883
West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,9-Jun-17,ODI # 3884
England,Australia,England,40 runs,Birmingham,10-Jun-17,ODI # 3885
India,South Africa,India,8 wickets,The Oval,11-Jun-17,ODI # 3886
West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,11-Jun-17,ODI # 3887
Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,12-Jun-17,ODI # 3888
England,Pakistan,Pakistan,8 wickets,Cardiff,14-Jun-17,ODI # 3889
West Indies,Afghanistan,no result,,Gros Islet,14-Jun-17,ODI # 3890
Bangladesh,India,India,9 wickets,Birmingham,15-Jun-17,ODI # 3891
Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,15-Jun-17,ODI # 3892
Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,17-Jun-17,ODI # 3893
India,Pakistan,Pakistan,180 runs,The Oval,18-Jun-17,ODI # 3894
West Indies,India,no result,,Port of Spain,23-Jun-17,ODI # 3895
West Indies,India,India,105 runs,Port of Spain,25-Jun-17,ODI # 3896
Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,30-Jun-17,ODI # 3897
West Indies,India,India,93 runs,North Sound,30-Jun-17,ODI # 3898
Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,2-Jul-17,ODI # 3899
West Indies,India,West Indies,11 runs,North Sound,2-Jul-17,ODI # 3900
Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,6-Jul-17,ODI # 3901
West Indies,India,India,8 wickets,Kingston,6-Jul-17,ODI # 3902
Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,8-Jul-17,ODI # 3903
Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,10-Jul-17,ODI # 3904
Sri Lanka,India,India,9 wickets,Dambulla,20-Aug-17,ODI # 3905
Sri Lanka,India,India,3 wickets,Pallekele,24-Aug-17,ODI # 3906
Sri Lanka,India,India,6 wickets,Pallekele,27-Aug-17,ODI # 3907
Sri Lanka,India,India,168 runs,Colombo (RPS),31-Aug-17,ODI # 3908
Sri Lanka,India,India,6 wickets,Colombo (RPS),3-Sep-17,ODI # 3909
India,Australia,India,26 runs,Chennai,17-Sep-17,ODI # 3910
England,West Indies,England,7 wickets,Manchester,19-Sep-17,ODI # 3911
India,Australia,India,50 runs,Kolkata,21-Sep-17,ODI # 3912
England,West Indies,no result,,Nottingham,21-Sep-17,ODI # 3913
India,Australia,India,5 wickets,Indore,24-Sep-17,ODI # 3914
England,West Indies,England,124 runs,Bristol,24-Sep-17,ODI # 3915
England,West Indies,England,6 runs,The Oval,27-Sep-17,ODI # 3916
India,Australia,Australia,21 runs,Bengaluru,28-Sep-17,ODI # 3917
England,West Indies,England,9 wickets,Southampton,29-Sep-17,ODI # 3918
India,Australia,India,7 wickets,Nagpur,1-Oct-17,ODI # 3919
P.N.G.,Scotland,Scotland,101 runs,Port Moresby,6-Oct-17,ODI # 3920
P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby,8-Oct-17,ODI # 3921
Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),13-Oct-17,ODI # 3922
South Africa,Bangladesh,South Africa,10 wickets,Kimberley,15-Oct-17,ODI # 3923
Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,16-Oct-17,ODI # 3924
South Africa,Bangladesh,South Africa,104 runs,Paarl,18-Oct-17,ODI # 3925
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,18-Oct-17,ODI # 3926
Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,20-Oct-17,ODI # 3927
India,New Zealand,New Zealand,6 wickets,Mumbai,22-Oct-17,ODI # 3928
South Africa,Bangladesh,South Africa,200 runs,East London,22-Oct-17,ODI # 3929
Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,23-Oct-17,ODI # 3930
India,New Zealand,India,6 wickets,Pune,25-Oct-17,ODI # 3931
India,New Zealand,India,6 runs,Kanpur,29-Oct-17,ODI # 3932
P.N.G.,Scotland,Scotland,6 wickets,Dubai (DSC),24-Nov-17,ODI # 3933
P.N.G.,Scotland,Scotland,4 wickets,Dubai (DSC),25-Nov-17,ODI # 3934
Afghanistan,Ireland,Afghanistan,138 runs,Sharjah,5-Dec-17,ODI # 3935
Hong Kong,P.N.G.,Hong Kong,23 runs,ICCA Dubai,6-Dec-17,ODI # 3936
Afghanistan,Ireland,Ireland,51 runs,Sharjah,7-Dec-17,ODI # 3937
Hong Kong,P.N.G.,Hong Kong,93 runs,ICCA Dubai,8-Dec-17,ODI # 3938
India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,10-Dec-17,ODI # 3939
Afghanistan,Ireland,Ireland,5 wickets,Sharjah,10-Dec-17,ODI # 3940
India,Sri Lanka,India,141 runs,Mohali,13-Dec-17,ODI # 3941
India,Sri Lanka,India,8 wickets,Visakhapatnam,17-Dec-17,ODI # 3942
New Zealand,West Indies,New Zealand,5 wickets,Whangarei,20-Dec-17,ODI # 3943
New Zealand,West Indies,New Zealand,204 runs,Christchurch,23-Dec-17,ODI # 3944
New Zealand,West Indies,New Zealand,66 runs,Christchurch,26-Dec-17,ODI # 3945
