Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,3-Jan-19,ODI # 4074
New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,5-Jan-19,ODI # 4075
New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,8-Jan-19,ODI # 4076
Australia,India,Australia,34 runs,Sydney,12-Jan-19,ODI # 4077
Australia,India,India,6 wickets,Adelaide,15-Jan-19,ODI # 4078
Australia,India,India,7 wickets,Melbourne,18-Jan-19,ODI # 4079
South Africa,Pakistan,Pakistan,5 wickets,Port Elizabeth,19-Jan-19,ODI # 4080
South Africa,Pakistan,South Africa,5 wickets,Durban,22-Jan-19,ODI # 4081
New Zealand,India,India,8 wickets,Napier,23-Jan-19,ODI # 4082
U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,25-Jan-19,ODI # 4083
South Africa,Pakistan,South Africa,13 runs,Centurion,25-Jan-19,ODI # 4084
New Zealand,India,India,90 runs,Mount Maunganui,26-Jan-19,ODI # 4085
U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,26-Jan-19,ODI # 4086
South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,27-Jan-19,ODI # 4087
New Zealand,India,India,7 wickets,Mount Maunganui,28-Jan-19,ODI # 4088
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,28-Jan-19,ODI # 4089
South Africa,Pakistan,South Africa,7 wickets,Cape Town,30-Jan-19,ODI # 4090
New Zealand,India,New Zealand,8 wickets,Hamilton,31-Jan-19,ODI # 4091
New Zealand,India,India,35 runs,Wellington,3-Feb-19,ODI # 4092
New Zealand,Bangladesh,New Zealand,8 wickets,Napier,13-Feb-19,ODI # 4093
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,16-Feb-19,ODI # 4094
New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,20-Feb-19,ODI # 4095
West Indies,England,England,6 wickets,Bridgetown,20-Feb-19,ODI # 4096
West Indies,England,West Indies,26 runs,Bridgetown,22-Feb-19,ODI # 4097
West Indies,England,no result,,St George's,25-Feb-19,ODI # 4098
West Indies,England,England,29 runs,St George's,27-Feb-19,ODI # 4099
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,28-Feb-19,ODI # 4100
Afghanistan,Ireland,no result,,Dehradun,2-Mar-19,ODI # 4101
India,Australia,India,6 wickets,Hyderabad (Deccan),2-Mar-19,ODI # 4102
West Indies,England,West Indies,7 wickets,Gros Islet,2-Mar-19,ODI # 4103
South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,3-Mar-19,ODI # 4104
Afghanistan,Ireland,Ireland,4 wickets,Dehradun,5-Mar-19,ODI # 4105
India,Australia,India,8 runs,Nagpur,5-Mar-19,ODI # 4106
South Africa,Sri Lanka,South Africa,113 runs,Centurion,6-Mar-19,ODI # 4107
Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,8-Mar-19,ODI # 4108
India,Australia,Australia,32 runs,Ranchi,8-Mar-19,ODI # 4109
Afghanistan,Ireland,Ireland,5 wickets,Dehradun,10-Mar-19,ODI # 4110
India,Australia,Australia,4 wickets,Mohali,10-Mar-19,ODI # 4111
South Africa,Sri Lanka,South Africa,71 runs,Durban,10-Mar-19,ODI # 4112
India,Australia,Australia,35 runs,Delhi,13-Mar-19,ODI # 4113
South Africa,Sri Lanka,South Africa,6 wickets,Port Elizabeth,13-Mar-19,ODI # 4114
South Africa,Sri Lanka,South Africa,41 runs,Cape Town,16-Mar-19,ODI # 4115
Australia,Pakistan,Australia,8 wickets,Sharjah,22-Mar-19,ODI # 4116
Australia,Pakistan,Australia,8 wickets,Sharjah,24-Mar-19,ODI # 4117
Australia,Pakistan,Australia,80 runs,Abu Dhabi,27-Mar-19,ODI # 4118
Australia,Pakistan,Australia,6 runs,Dubai (DSC),29-Mar-19,ODI # 4119
Australia,Pakistan,Australia,20 runs,Dubai (DSC),31-Mar-19,ODI # 4120
Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare,10-Apr-19,ODI # 4121
Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare,12-Apr-19,ODI # 4122
Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare,14-Apr-19,ODI # 4123
Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare,16-Apr-19,ODI # 4124
Namibia,Oman,Namibia,145 runs,Windhoek,27-Apr-19,ODI # 4125
P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek,27-Apr-19,ODI # 4126
Ireland,England,England,4 wickets,Dublin (Malahide),3-May-19,ODI # 4127
Ireland,West Indies,West Indies,196 runs,Dublin,5-May-19,ODI # 4128
Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,7-May-19,ODI # 4129
England,Pakistan,no result,,The Oval,8-May-19,ODI # 4130
Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh,10-May-19,ODI # 4131
Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide),11-May-19,ODI # 4132
England,Pakistan,England,12 runs,Southampton,11-May-19,ODI # 4133
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),13-May-19,ODI # 4134
England,Pakistan,England,6 wickets,Bristol,14-May-19,ODI # 4135
Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,15-May-19,ODI # 4136
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),17-May-19,ODI # 4137
