Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Dhaka,6-Mar-14,ODI # 3485
Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dhaka,8-Mar-14,ODI # 3486
Afghanistan,Hong Kong,Afghanistan,6 wickets,Kuala Lumpur,1-May-14,ODI # 3487
Afghanistan,U.A.E.,Afghanistan,70 runs,Kuala Lumpur,2-May-14,ODI # 3488
Hong Kong,U.A.E.,U.A.E.,2 wickets,Kuala Lumpur,4-May-14,ODI # 3489
Ireland,Sri Lanka,Sri Lanka,79 runs,Dublin,6-May-14,ODI # 3490
Scotland,England,England,39 runs,Aberdeen,9-May-14,ODI # 3491
England,Sri Lanka,England,81 runs,The Oval,22-May-14,ODI # 3492
England,Sri Lanka,Sri Lanka,157 runs,Chester-le-Street,25-May-14,ODI # 3493
England,Sri Lanka,England,10 wickets,Manchester,28-May-14,ODI # 3494
England,Sri Lanka,Sri Lanka,7 runs,Lord's,31-May-14,ODI # 3495
England,Sri Lanka,Sri Lanka,6 wickets,Birmingham,3-Jun-14,ODI # 3496
Bangladesh,India,India,7 wickets,Dhaka,15-Jun-14,ODI # 3497
Bangladesh,India,India,47 runs,Dhaka,17-Jun-14,ODI # 3498
Bangladesh,India,no result,,Dhaka,19-Jun-14,ODI # 3499
Sri Lanka,South Africa,South Africa,75 runs,Colombo (RPS),6-Jul-14,ODI # 3500
Sri Lanka,South Africa,Sri Lanka,87 runs,Pallekele,9-Jul-14,ODI # 3501
Sri Lanka,South Africa,South Africa,82 runs,Hambantota,12-Jul-14,ODI # 3502
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,18-Jul-14,ODI # 3503
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,20-Jul-14,ODI # 3504
Zimbabwe,Afghanistan,Afghanistan,2 wickets,Bulawayo,22-Jul-14,ODI # 3505
Zimbabwe,Afghanistan,Afghanistan,100 runs,Bulawayo,24-Jul-14,ODI # 3506
Zimbabwe,South Africa,South Africa,93 runs,Bulawayo,17-Aug-14,ODI # 3507
Zimbabwe,South Africa,South Africa,61 runs,Bulawayo,19-Aug-14,ODI # 3508
West Indies,Bangladesh,West Indies,3 wickets,St George's,20-Aug-14,ODI # 3509
Zimbabwe,South Africa,South Africa,7 wickets,Bulawayo,21-Aug-14,ODI # 3510
West Indies,Bangladesh,West Indies,177 runs,St George's,22-Aug-14,ODI # 3511
Sri Lanka,Pakistan,Pakistan,4 wickets,Hambantota,23-Aug-14,ODI # 3512
Zimbabwe,Australia,Australia,198 runs,Harare,25-Aug-14,ODI # 3513
West Indies,Bangladesh,West Indies,91 runs,Basseterre,25-Aug-14,ODI # 3514
Sri Lanka,Pakistan,Sri Lanka,77 runs,Hambantota,26-Aug-14,ODI # 3515
Australia,South Africa,South Africa,7 wickets,Harare,27-Aug-14,ODI # 3516
England,India,India,133 runs,Cardiff,27-Aug-14,ODI # 3517
Zimbabwe,South Africa,South Africa,61 runs,Harare,29-Aug-14,ODI # 3518
Sri Lanka,Pakistan,Sri Lanka,7 wickets,Dambulla,30-Aug-14,ODI # 3519
England,India,India,6 wickets,Nottingham,30-Aug-14,ODI # 3520
Zimbabwe,Australia,Zimbabwe,3 wickets,Harare,31-Aug-14,ODI # 3521
Australia,South Africa,Australia,62 runs,Harare,2-Sep-14,ODI # 3522
England,India,India,9 wickets,Birmingham,2-Sep-14,ODI # 3523
Zimbabwe,South Africa,South Africa,63 runs,Harare,4-Sep-14,ODI # 3524
England,India,England,41 runs,Leeds,5-Sep-14,ODI # 3525
Australia,South Africa,South Africa,6 wickets,Harare,6-Sep-14,ODI # 3526
Ireland,Scotland,Ireland,7 wickets,Dublin (Malahide),8-Sep-14,ODI # 3527
Ireland,Scotland,Ireland,3 wickets,Dublin (Malahide),10-Sep-14,ODI # 3528
Ireland,Scotland,Scotland,8 wickets,Dublin (Malahide),12-Sep-14,ODI # 3529
Australia,Pakistan,Australia,93 runs,Sharjah,7-Oct-14,ODI # 3530
India,West Indies,West Indies,124 runs,Kochi,8-Oct-14,ODI # 3531
Australia,Pakistan,Australia,5 wickets,Dubai (DSC),10-Oct-14,ODI # 3532
India,West Indies,India,48 runs,Delhi,11-Oct-14,ODI # 3533
Australia,Pakistan,Australia,1 run,Abu Dhabi,12-Oct-14,ODI # 3534
India,West Indies,India,59 runs,Dharamsala,17-Oct-14,ODI # 3535
New Zealand,South Africa,South Africa,6 wickets,Mount Maunganui,21-Oct-14,ODI # 3536
New Zealand,South Africa,South Africa,72 runs,Mount Maunganui,24-Oct-14,ODI # 3537
New Zealand,South Africa,no result,,Hamilton,27-Oct-14,ODI # 3538
India,Sri Lanka,India,169 runs,Cuttack,2-Nov-14,ODI # 3539
India,Sri Lanka,India,6 wickets,Ahmedabad,6-Nov-14,ODI # 3540
Hong Kong,P.N.G.,P.N.G.,4 wickets,Townsville,8-Nov-14,ODI # 3541
Hong Kong,P.N.G.,P.N.G.,3 wickets,Townsville,9-Nov-14,ODI # 3542
India,Sri Lanka,India,6 wickets,Hyderabad (Deccan),9-Nov-14,ODI # 3543
India,Sri Lanka,India,153 runs,Kolkata,13-Nov-14,ODI # 3544
Australia,South Africa,Australia,32 runs,Perth,14-Nov-14,ODI # 3545
Australia,South Africa,South Africa,3 wickets,Perth,16-Nov-14,ODI # 3546
India,Sri Lanka,India,3 wickets,Ranchi,16-Nov-14,ODI # 3547
Australia,South Africa,Australia,73 runs,Canberra,19-Nov-14,ODI # 3548
Australia,South Africa,Australia,3 wickets,Melbourne,21-Nov-14,ODI # 3549
Bangladesh,Zimbabwe,Bangladesh,87 runs,Chattogram,21-Nov-14,ODI # 3550
Australia,South Africa,Australia,2 wickets,Sydney,23-Nov-14,ODI # 3551
Bangladesh,Zimbabwe,Bangladesh,68 runs,Chattogram,23-Nov-14,ODI # 3552
Bangladesh,Zimbabwe,Bangladesh,124 runs,Dhaka,26-Nov-14,ODI # 3553
Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS),26-Nov-14,ODI # 3554
Bangladesh,Zimbabwe,Bangladesh,21 runs,Dhaka,28-Nov-14,ODI # 3555
U.A.E.,Afghanistan,U.A.E.,5 wickets,ICCA Dubai,28-Nov-14,ODI # 3556
Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS),29-Nov-14,ODI # 3557
U.A.E.,Afghanistan,U.A.E.,6 wickets,ICCA Dubai,30-Nov-14,ODI # 3558
Bangladesh,Zimbabwe,Bangladesh,5 wickets,Dhaka,1-Dec-14,ODI # 3559
U.A.E.,Afghanistan,Afghanistan,2 wickets,ICCA Dubai,2-Dec-14,ODI # 3560
Sri Lanka,England,England,5 wickets,Hambantota,3-Dec-14,ODI # 3561
U.A.E.,Afghanistan,U.A.E.,30 runs,ICCA Dubai,4-Dec-14,ODI # 3562
Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS),7-Dec-14,ODI # 3563
New Zealand,Pakistan,Pakistan,3 wickets,Dubai (DSC),8-Dec-14,ODI # 3564
Sri Lanka,England,England,5 wickets,Pallekele,"Dec 10-11, 2014",ODI # 3565
New Zealand,Pakistan,New Zealand,4 wickets,Sharjah,12-Dec-14,ODI # 3566
Sri Lanka,England,Sri Lanka,90 runs,Pallekele,13-Dec-14,ODI # 3567
New Zealand,Pakistan,Pakistan,147 runs,Sharjah,14-Dec-14,ODI # 3568
Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS),16-Dec-14,ODI # 3569
New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi,17-Dec-14,ODI # 3570
New Zealand,Pakistan,New Zealand,68 runs,Abu Dhabi,19-Dec-14,ODI # 3571
