Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
New Zealand,West Indies,New Zealand,159 runs,Queenstown,1-Jan-14,ODI # 3451
New Zealand,West Indies,New Zealand,58 runs,Nelson,4-Jan-14,ODI # 3452
New Zealand,West Indies,West Indies,203 runs,Hamilton,8-Jan-14,ODI # 3453
Australia,England,Australia,6 wickets,Melbourne,12-Jan-14,ODI # 3454
Australia,England,Australia,1 wicket,Brisbane,17-Jan-14,ODI # 3455
New Zealand,India,New Zealand,24 runs,Napier,19-Jan-14,ODI # 3456
Australia,England,Australia,7 wickets,Sydney,19-Jan-14,ODI # 3457
New Zealand,India,New Zealand,15 runs,Hamilton,22-Jan-14,ODI # 3458
Canada,Scotland,Scotland,170 runs,Christchurch,23-Jan-14,ODI # 3459
Kenya,Netherlands,Kenya,4 wickets,Lincoln,23-Jan-14,ODI # 3460
Australia,England,England,57 runs,Perth,24-Jan-14,ODI # 3461
New Zealand,India,tied,,Auckland,25-Jan-14,ODI # 3462
Australia,England,Australia,5 runs,Adelaide,26-Jan-14,ODI # 3463
Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui,28-Jan-14,ODI # 3464
New Zealand,India,New Zealand,7 wickets,Hamilton,28-Jan-14,ODI # 3465
Kenya,Scotland,Scotland,3 wickets,Christchurch,30-Jan-14,ODI # 3466
New Zealand,India,New Zealand,87 runs,Wellington,31-Jan-14,ODI # 3467
Scotland,U.A.E.,Scotland,41 runs,Lincoln,1-Feb-14,ODI # 3468
Bangladesh,Sri Lanka,Sri Lanka,13 runs,Dhaka,17-Feb-14,ODI # 3469
Bangladesh,Sri Lanka,Sri Lanka,61 runs,Dhaka,20-Feb-14,ODI # 3470
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka,22-Feb-14,ODI # 3471
West Indies,Ireland,West Indies,4 wickets,Kingston,23-Feb-14,ODI # 3472
Pakistan,Sri Lanka,Sri Lanka,12 runs,Fatullah,25-Feb-14,ODI # 3473
Bangladesh,India,India,6 wickets,Fatullah,26-Feb-14,ODI # 3474
Afghanistan,Pakistan,Pakistan,72 runs,Fatullah,27-Feb-14,ODI # 3475
India,Sri Lanka,Sri Lanka,2 wickets,Fatullah,28-Feb-14,ODI # 3476
West Indies,England,West Indies,15 runs,North Sound,28-Feb-14,ODI # 3477
Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah,1-Mar-14,ODI # 3478
India,Pakistan,Pakistan,1 wicket,Dhaka,2-Mar-14,ODI # 3479
West Indies,England,England,3 wickets,North Sound,2-Mar-14,ODI # 3480
Afghanistan,Sri Lanka,Sri Lanka,129 runs,Dhaka,3-Mar-14,ODI # 3481
Bangladesh,Pakistan,Pakistan,3 wickets,Dhaka,4-Mar-14,ODI # 3482
Afghanistan,India,India,8 wickets,Dhaka,5-Mar-14,ODI # 3483
West Indies,England,England,25 runs,North Sound,5-Mar-14,ODI # 3484
