Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
South Africa,India,South Africa,135 runs,Durban,12-Jan-11,ODI # 3079
South Africa,India,India,1 run,Johannesburg,15-Jan-11,ODI # 3080
Australia,England,Australia,6 wickets,Melbourne,16-Jan-11,ODI # 3081
South Africa,India,India,2 wickets,Cape Town,18-Jan-11,ODI # 3082
Australia,England,Australia,46 runs,Hobart,21-Jan-11,ODI # 3083
South Africa,India,South Africa,48 runs,Port Elizabeth,21-Jan-11,ODI # 3084
New Zealand,Pakistan,New Zealand,9 wickets,Wellington,22-Jan-11,ODI # 3085
Australia,England,Australia,4 wickets,Sydney,23-Jan-11,ODI # 3086
South Africa,India,South Africa,33 runs,Centurion,23-Jan-11,ODI # 3087
New Zealand,Pakistan,no result,,Queenstown,26-Jan-11,ODI # 3088
Australia,England,England,21 runs,Adelaide,26-Jan-11,ODI # 3089
New Zealand,Pakistan,Pakistan,43 runs,Christchurch,29-Jan-11,ODI # 3090
Australia,England,Australia,51 runs,Brisbane,30-Jan-11,ODI # 3091
Sri Lanka,West Indies,no result,,Colombo (SSC),31-Jan-11,ODI # 3092
New Zealand,Pakistan,Pakistan,2 wickets,Napier,1-Feb-11,ODI # 3093
Australia,England,Australia,2 wickets,Sydney,2-Feb-11,ODI # 3094
New Zealand,Pakistan,Pakistan,41 runs,Hamilton,3-Feb-11,ODI # 3095
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC),3-Feb-11,ODI # 3096
New Zealand,Pakistan,New Zealand,57 runs,Auckland,5-Feb-11,ODI # 3097
Australia,England,Australia,57 runs,Perth,6-Feb-11,ODI # 3098
Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC),6-Feb-11,ODI # 3099
Bangladesh,India,India,87 runs,Dhaka,19-Feb-11,ODI # 3100
Kenya,New Zealand,New Zealand,10 wickets,Chennai,20-Feb-11,ODI # 3101
Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,20-Feb-11,ODI # 3102
Australia,Zimbabwe,Australia,91 runs,Ahmedabad,21-Feb-11,ODI # 3103
England,Netherlands,England,6 wickets,Nagpur,22-Feb-11,ODI # 3104
Kenya,Pakistan,Pakistan,205 runs,Hambantota,23-Feb-11,ODI # 3105
South Africa,West Indies,South Africa,7 wickets,Delhi,24-Feb-11,ODI # 3106
Australia,New Zealand,Australia,7 wickets,Nagpur,25-Feb-11,ODI # 3107
Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,25-Feb-11,ODI # 3108
Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),26-Feb-11,ODI # 3109
India,England,tied,,Bengaluru,27-Feb-11,ODI # 3110
Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,28-Feb-11,ODI # 3111
