Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Netherlands,West Indies,West Indies,215 runs,Delhi,28-Feb-11,ODI # 3112
Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),1-Mar-11,ODI # 3113
England,Ireland,Ireland,3 wickets,Bengaluru,2-Mar-11,ODI # 3114
Netherlands,South Africa,South Africa,231 runs,Mohali,3-Mar-11,ODI # 3115
Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),3-Mar-11,ODI # 3116
New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,4-Mar-11,ODI # 3117
Bangladesh,West Indies,West Indies,9 wickets,Dhaka,4-Mar-11,ODI # 3118
Sri Lanka,Australia,no result,,Colombo (RPS),5-Mar-11,ODI # 3119
England,South Africa,England,6 runs,Chennai,6-Mar-11,ODI # 3120
India,Ireland,India,5 wickets,Bengaluru,6-Mar-11,ODI # 3121
Canada,Kenya,Canada,5 wickets,Delhi,7-Mar-11,ODI # 3122
New Zealand,Pakistan,New Zealand,110 runs,Pallekele,8-Mar-11,ODI # 3123
India,Netherlands,India,5 wickets,Delhi,9-Mar-11,ODI # 3124
Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,10-Mar-11,ODI # 3125
Ireland,West Indies,West Indies,44 runs,Mohali,11-Mar-11,ODI # 3126
Bangladesh,England,Bangladesh,2 wickets,Chattogram,11-Mar-11,ODI # 3127
India,South Africa,South Africa,3 wickets,Nagpur,12-Mar-11,ODI # 3128
Canada,New Zealand,New Zealand,97 runs,Mumbai,13-Mar-11,ODI # 3129
Australia,Kenya,Australia,60 runs,Bengaluru,13-Mar-11,ODI # 3130
Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram,14-Mar-11,ODI # 3131
Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,14-Mar-11,ODI # 3132
Ireland,South Africa,South Africa,131 runs,Kolkata,15-Mar-11,ODI # 3133
Australia,Canada,Australia,7 wickets,Bengaluru,16-Mar-11,ODI # 3134
England,West Indies,England,18 runs,Chennai,17-Mar-11,ODI # 3135
Ireland,Netherlands,Ireland,6 wickets,Kolkata,18-Mar-11,ODI # 3136
New Zealand,Sri Lanka,Sri Lanka,112 runs,Mumbai,18-Mar-11,ODI # 3137
Bangladesh,South Africa,South Africa,206 runs,Dhaka,19-Mar-11,ODI # 3138
Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS),19-Mar-11,ODI # 3139
Kenya,Zimbabwe,Zimbabwe,161 runs,Kolkata,20-Mar-11,ODI # 3140
India,West Indies,India,80 runs,Chennai,20-Mar-11,ODI # 3141
Pakistan,West Indies,Pakistan,10 wickets,Dhaka,23-Mar-11,ODI # 3142
India,Australia,India,5 wickets,Ahmedabad,24-Mar-11,ODI # 3143
New Zealand,South Africa,New Zealand,49 runs,Dhaka,25-Mar-11,ODI # 3144
Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS),26-Mar-11,ODI # 3145
Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),29-Mar-11,ODI # 3146
India,Pakistan,India,29 runs,Mohali,30-Mar-11,ODI # 3147
India,Sri Lanka,India,6 wickets,Mumbai,2-Apr-11,ODI # 3148
Bangladesh,Australia,Australia,60 runs,Dhaka,9-Apr-11,ODI # 3149
Bangladesh,Australia,Australia,9 wickets,Dhaka,11-Apr-11,ODI # 3150
Bangladesh,Australia,Australia,66 runs,Dhaka,13-Apr-11,ODI # 3151
West Indies,Pakistan,Pakistan,8 wickets,Gros Islet,23-Apr-11,ODI # 3152
West Indies,Pakistan,Pakistan,7 wickets,Gros Islet,25-Apr-11,ODI # 3153
West Indies,Pakistan,Pakistan,3 wickets,Bridgetown,28-Apr-11,ODI # 3154
West Indies,Pakistan,West Indies,1 run,Bridgetown,2-May-11,ODI # 3155
West Indies,Pakistan,West Indies,10 wickets,Providence,5-May-11,ODI # 3156
Ireland,Pakistan,Pakistan,7 wickets,Belfast,28-May-11,ODI # 3157
Ireland,Pakistan,Pakistan,5 wickets,Belfast,30-May-11,ODI # 3158
West Indies,India,India,4 wickets,Port of Spain,6-Jun-11,ODI # 3159
West Indies,India,India,7 wickets,Port of Spain,8-Jun-11,ODI # 3160
West Indies,India,India,3 wickets,North Sound,11-Jun-11,ODI # 3161
West Indies,India,West Indies,103 runs,North Sound,13-Jun-11,ODI # 3162
West Indies,India,West Indies,7 wickets,Kingston,16-Jun-11,ODI # 3163
Scotland,Netherlands,Scotland,15 runs,Aberdeen,28-Jun-11,ODI # 3164
England,Sri Lanka,England,110 runs,The Oval,28-Jun-11,ODI # 3165
Scotland,Netherlands,Scotland,5 wickets,Aberdeen,29-Jun-11,ODI # 3166
England,Sri Lanka,Sri Lanka,69 runs,Leeds,1-Jul-11,ODI # 3167
England,Sri Lanka,Sri Lanka,6 wickets,Lord's,3-Jul-11,ODI # 3168
England,Sri Lanka,England,10 wickets,Nottingham,6-Jul-11,ODI # 3169
England,Sri Lanka,England,16 runs,Manchester,9-Jul-11,ODI # 3170
Scotland,Ireland,Scotland,5 wickets,Edinburgh,12-Jul-11,ODI # 3171
Scotland,Sri Lanka,Sri Lanka,183 runs,Edinburgh,13-Jul-11,ODI # 3172
Canada,Afghanistan,Afghanistan,2 wickets,King City (NW),7-Aug-11,ODI # 3173
Canada,Afghanistan,Afghanistan,17 runs,Toronto,9-Aug-11,ODI # 3174
Sri Lanka,Australia,Australia,7 wickets,Pallekele,10-Aug-11,ODI # 3175
Zimbabwe,Bangladesh,Zimbabwe,4 wickets,Harare,12-Aug-11,ODI # 3176
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,14-Aug-11,ODI # 3177
Sri Lanka,Australia,Australia,8 wickets,Hambantota,14-Aug-11,ODI # 3178
Zimbabwe,Bangladesh,Zimbabwe,5 runs,Harare,16-Aug-11,ODI # 3179
Sri Lanka,Australia,Sri Lanka,78 runs,Hambantota,16-Aug-11,ODI # 3180
Zimbabwe,Bangladesh,Bangladesh,6 wickets,Bulawayo,19-Aug-11,ODI # 3181
Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),20-Aug-11,ODI # 3182
Zimbabwe,Bangladesh,Bangladesh,93 runs,Bulawayo,21-Aug-11,ODI # 3183
Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),22-Aug-11,ODI # 3184
Ireland,England,England,11 runs,Dublin,25-Aug-11,ODI # 3185
England,India,no result,,Chester-le-Street,3-Sep-11,ODI # 3186
England,India,England,7 wickets,Southampton,6-Sep-11,ODI # 3187
Zimbabwe,Pakistan,Pakistan,5 runs,Bulawayo,8-Sep-11,ODI # 3188
England,India,England,3 wickets,The Oval,9-Sep-11,ODI # 3189
Zimbabwe,Pakistan,Pakistan,10 wickets,Harare,11-Sep-11,ODI # 3190
England,India,tied,,Lord's,11-Sep-11,ODI # 3191
Netherlands,Kenya,Netherlands,2 wickets,The Hague,12-Sep-11,ODI # 3192
Netherlands,Kenya,Netherlands,4 wickets,The Hague,13-Sep-11,ODI # 3193
Zimbabwe,Pakistan,Pakistan,28 runs,Harare,14-Sep-11,ODI # 3194
England,India,England,6 wickets,Cardiff,16-Sep-11,ODI # 3195
Ireland,Canada,Ireland,133 runs,Dublin,19-Sep-11,ODI # 3196
Ireland,Canada,Ireland,56 runs,Dublin,20-Sep-11,ODI # 3197
Bangladesh,West Indies,West Indies,40 runs,Dhaka,13-Oct-11,ODI # 3198
India,England,India,126 runs,Hyderabad (Deccan),14-Oct-11,ODI # 3199
Bangladesh,West Indies,West Indies,8 wickets,Dhaka,15-Oct-11,ODI # 3200
India,England,India,8 wickets,Delhi,17-Oct-11,ODI # 3201
Bangladesh,West Indies,Bangladesh,8 wickets,Chattogram,18-Oct-11,ODI # 3202
South Africa,Australia,Australia,93 runs,Centurion,19-Oct-11,ODI # 3203
Zimbabwe,New Zealand,New Zealand,9 wickets,Harare,20-Oct-11,ODI # 3204
India,England,India,5 wickets,Mohali,20-Oct-11,ODI # 3205
Zimbabwe,New Zealand,New Zealand,4 wickets,Harare,22-Oct-11,ODI # 3206
India,England,India,6 wickets,Mumbai,23-Oct-11,ODI # 3207
South Africa,Australia,South Africa,80 runs,Port Elizabeth,23-Oct-11,ODI # 3208
Zimbabwe,New Zealand,Zimbabwe,1 wicket,Bulawayo,25-Oct-11,ODI # 3209
India,England,India,95 runs,Kolkata,25-Oct-11,ODI # 3210
South Africa,Australia,Australia,3 wickets,Durban,28-Oct-11,ODI # 3211
Pakistan,Sri Lanka,Pakistan,8 wickets,Dubai (DSC),11-Nov-11,ODI # 3212
Pakistan,Sri Lanka,Sri Lanka,25 runs,Dubai (DSC),14-Nov-11,ODI # 3213
Pakistan,Sri Lanka,Pakistan,21 runs,Dubai (DSC),18-Nov-11,ODI # 3214
Pakistan,Sri Lanka,Pakistan,26 runs,Sharjah,20-Nov-11,ODI # 3215
Pakistan,Sri Lanka,Pakistan,3 wickets,Abu Dhabi,23-Nov-11,ODI # 3216
India,West Indies,India,1 wicket,Cuttack,29-Nov-11,ODI # 3217
Bangladesh,Pakistan,Pakistan,5 wickets,Dhaka,1-Dec-11,ODI # 3218
India,West Indies,India,5 wickets,Visakhapatnam,2-Dec-11,ODI # 3219
Bangladesh,Pakistan,Pakistan,76 runs,Dhaka,3-Dec-11,ODI # 3220
India,West Indies,West Indies,16 runs,Ahmedabad,5-Dec-11,ODI # 3221
Bangladesh,Pakistan,Pakistan,58 runs,Chattogram,6-Dec-11,ODI # 3222
India,West Indies,India,153 runs,Indore,8-Dec-11,ODI # 3223
India,West Indies,India,34 runs,Chennai,11-Dec-11,ODI # 3224
