Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,8-Jan-15,ODI # 3572
Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),10-Jan-15,ODI # 3573
New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,11-Jan-15,ODI # 3574
Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),12-Jan-15,ODI # 3575
Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,14-Jan-15,ODI # 3576
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,15-Jan-15,ODI # 3577
Australia,England,Australia,3 wickets,Sydney,16-Jan-15,ODI # 3578
South Africa,West Indies,South Africa,61 runs,Durban,16-Jan-15,ODI # 3579
New Zealand,Sri Lanka,no result,,Auckland,17-Jan-15,ODI # 3580
Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),17-Jan-15,ODI # 3581
Australia,India,Australia,4 wickets,Melbourne,18-Jan-15,ODI # 3582
South Africa,West Indies,South Africa,148 runs,Johannesburg,18-Jan-15,ODI # 3583
Ireland,Scotland,no result,,ICCA Dubai,19-Jan-15,ODI # 3584
New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,20-Jan-15,ODI # 3585
England,India,England,9 wickets,Brisbane,20-Jan-15,ODI # 3586
South Africa,West Indies,South Africa,9 wickets,East London,21-Jan-15,ODI # 3587
New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,23-Jan-15,ODI # 3588
Australia,England,Australia,3 wickets,Hobart,23-Jan-15,ODI # 3589
New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,25-Jan-15,ODI # 3590
South Africa,West Indies,West Indies,1 wicket,Port Elizabeth,25-Jan-15,ODI # 3591
Australia,India,no result,,Sydney,26-Jan-15,ODI # 3592
South Africa,West Indies,South Africa,131 runs,Centurion,28-Jan-15,ODI # 3593
New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,29-Jan-15,ODI # 3594
England,India,England,3 wickets,Perth,30-Jan-15,ODI # 3595
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,31-Jan-15,ODI # 3596
Australia,England,Australia,112 runs,Perth,1-Feb-15,ODI # 3597
New Zealand,Pakistan,New Zealand,119 runs,Napier,3-Feb-15,ODI # 3598
New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,14-Feb-15,ODI # 3599
Australia,England,Australia,111 runs,Melbourne,14-Feb-15,ODI # 3600
South Africa,Zimbabwe,South Africa,62 runs,Hamilton,15-Feb-15,ODI # 3601
India,Pakistan,India,76 runs,Adelaide,15-Feb-15,ODI # 3602
Ireland,West Indies,Ireland,4 wickets,Nelson,16-Feb-15,ODI # 3603
New Zealand,Scotland,New Zealand,3 wickets,Dunedin,17-Feb-15,ODI # 3604
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,18-Feb-15,ODI # 3605
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,19-Feb-15,ODI # 3606
New Zealand,England,New Zealand,8 wickets,Wellington,20-Feb-15,ODI # 3607
Pakistan,West Indies,West Indies,150 runs,Christchurch,21-Feb-15,ODI # 3608
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,22-Feb-15,ODI # 3609
India,South Africa,India,130 runs,Melbourne,22-Feb-15,ODI # 3610
England,Scotland,England,119 runs,Christchurch,23-Feb-15,ODI # 3611
West Indies,Zimbabwe,West Indies,73 runs,Canberra,24-Feb-15,ODI # 3612
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,25-Feb-15,ODI # 3613
Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,26-Feb-15,ODI # 3614
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,26-Feb-15,ODI # 3615
South Africa,West Indies,South Africa,257 runs,Sydney,27-Feb-15,ODI # 3616
New Zealand,Australia,New Zealand,1 wicket,Auckland,28-Feb-15,ODI # 3617
India,U.A.E.,India,9 wickets,Perth,28-Feb-15,ODI # 3618
England,Sri Lanka,Sri Lanka,9 wickets,Wellington,1-Mar-15,ODI # 3619
Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,1-Mar-15,ODI # 3620
Ireland,South Africa,South Africa,201 runs,Canberra,3-Mar-15,ODI # 3621
Pakistan,U.A.E.,Pakistan,129 runs,Napier,4-Mar-15,ODI # 3622
Australia,Afghanistan,Australia,275 runs,Perth,4-Mar-15,ODI # 3623
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,5-Mar-15,ODI # 3624
India,West Indies,India,4 wickets,Perth,6-Mar-15,ODI # 3625
Pakistan,South Africa,Pakistan,29 runs,Auckland,7-Mar-15,ODI # 3626
Ireland,Zimbabwe,Ireland,5 runs,Hobart,7-Mar-15,ODI # 3627
New Zealand,Afghanistan,New Zealand,6 wickets,Napier,8-Mar-15,ODI # 3628
Australia,Sri Lanka,Australia,64 runs,Sydney,8-Mar-15,ODI # 3629
Bangladesh,England,Bangladesh,15 runs,Adelaide,9-Mar-15,ODI # 3630
India,Ireland,India,8 wickets,Hamilton,10-Mar-15,ODI # 3631
Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,11-Mar-15,ODI # 3632
