Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,4-Jan-10,ODI # 2937
India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,5-Jan-10,ODI # 2938
Bangladesh,India,India,6 wickets,Dhaka,7-Jan-10,ODI # 2939
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,8-Jan-10,ODI # 2940
India,Sri Lanka,India,8 wickets,Dhaka,10-Jan-10,ODI # 2941
Bangladesh,India,India,6 wickets,Dhaka,11-Jan-10,ODI # 2942
India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,13-Jan-10,ODI # 2943
Australia,Pakistan,Australia,5 wickets,Brisbane,22-Jan-10,ODI # 2944
Australia,Pakistan,Australia,140 runs,Sydney,24-Jan-10,ODI # 2945
Australia,Pakistan,Australia,40 runs,Adelaide,26-Jan-10,ODI # 2946
Australia,Pakistan,Australia,135 runs,Perth,29-Jan-10,ODI # 2947
Australia,Pakistan,Australia,2 wickets,Perth,31-Jan-10,ODI # 2948
New Zealand,Bangladesh,New Zealand,146 runs,Napier,5-Feb-10,ODI # 2949
Australia,West Indies,Australia,113 runs,Melbourne,7-Feb-10,ODI # 2950
New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,8-Feb-10,ODI # 2951
Australia,West Indies,Australia,8 wickets,Adelaide,9-Feb-10,ODI # 2952
New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,11-Feb-10,ODI # 2953
Australia,West Indies,no result,,Sydney,12-Feb-10,ODI # 2954
Australia,West Indies,Australia,50 runs,Brisbane,14-Feb-10,ODI # 2955
Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym),16-Feb-10,ODI # 2956
Afghanistan,Canada,Afghanistan,1 run,Sharjah,16-Feb-10,ODI # 2957
Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym),18-Feb-10,ODI # 2958
Afghanistan,Canada,Canada,4 wickets,Sharjah,18-Feb-10,ODI # 2959
Australia,West Indies,Australia,125 runs,Melbourne,19-Feb-10,ODI # 2960
India,South Africa,India,1 run,Jaipur,21-Feb-10,ODI # 2961
India,South Africa,India,153 runs,Gwalior,24-Feb-10,ODI # 2962
India,South Africa,South Africa,90 runs,Ahmedabad,27-Feb-10,ODI # 2963
Bangladesh,England,England,6 wickets,Dhaka,28-Feb-10,ODI # 2964
Bangladesh,England,England,2 wickets,Dhaka,2-Mar-10,ODI # 2965
New Zealand,Australia,New Zealand,2 wickets,Napier,3-Mar-10,ODI # 2966
West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,4-Mar-10,ODI # 2967
Bangladesh,England,England,45 runs,Chattogram,5-Mar-10,ODI # 2968
New Zealand,Australia,Australia,12 runs,Auckland,6-Mar-10,ODI # 2969
West Indies,Zimbabwe,West Indies,4 wickets,Providence,6-Mar-10,ODI # 2970
New Zealand,Australia,Australia,6 wickets,Hamilton,9-Mar-10,ODI # 2971
West Indies,Zimbabwe,West Indies,141 runs,Kingstown,10-Mar-10,ODI # 2972
New Zealand,Australia,Australia,6 wickets,Auckland,11-Mar-10,ODI # 2973
West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,12-Mar-10,ODI # 2974
New Zealand,Australia,New Zealand,51 runs,Wellington,13-Mar-10,ODI # 2975
West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,14-Mar-10,ODI # 2976
West Indies,Canada,West Indies,208 runs,Kingston,13-Apr-10,ODI # 2977
West Indies,Ireland,West Indies,6 wickets,Kingston,15-Apr-10,ODI # 2978
West Indies,South Africa,South Africa,66 runs,North Sound,22-May-10,ODI # 2979
West Indies,South Africa,South Africa,17 runs,North Sound,24-May-10,ODI # 2980
Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,28-May-10,ODI # 2981
West Indies,South Africa,South Africa,67 runs,Roseau,28-May-10,ODI # 2982
India,Sri Lanka,India,7 wickets,Bulawayo,30-May-10,ODI # 2983
West Indies,South Africa,South Africa,7 wickets,Roseau,30-May-10,ODI # 2984
Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,1-Jun-10,ODI # 2985
Zimbabwe,India,Zimbabwe,7 wickets,Harare,3-Jun-10,ODI # 2986
West Indies,South Africa,South Africa,1 wicket,Port of Spain,3-Jun-10,ODI # 2987
India,Sri Lanka,Sri Lanka,6 wickets,Harare,5-Jun-10,ODI # 2988
Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Harare,7-Jun-10,ODI # 2989
Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,9-Jun-10,ODI # 2990
Sri Lanka,Pakistan,Sri Lanka,16 runs,Dambulla,15-Jun-10,ODI # 2991
Netherlands,Scotland,Netherlands,6 wickets,Rotterdam,15-Jun-10,ODI # 2992
Bangladesh,India,India,6 wickets,Dambulla,16-Jun-10,ODI # 2993
Ireland,Australia,Australia,39 runs,Dublin,17-Jun-10,ODI # 2994
Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,18-Jun-10,ODI # 2995
India,Pakistan,India,3 wickets,Dambulla,19-Jun-10,ODI # 2996
Scotland,England,England,7 wickets,Edinburgh,19-Jun-10,ODI # 2997
Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,21-Jun-10,ODI # 2998
Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,22-Jun-10,ODI # 2999
England,Australia,England,4 wickets,Southampton,22-Jun-10,ODI # 3000
Sri Lanka,India,India,81 runs,Dambulla,24-Jun-10,ODI # 3001
England,Australia,England,4 wickets,Cardiff,24-Jun-10,ODI # 3002
England,Australia,England,1 wicket,Manchester,27-Jun-10,ODI # 3003
England,Australia,Australia,78 runs,The Oval,30-Jun-10,ODI # 3004
Afghanistan,Canada,Afghanistan,6 wickets,The Hague,1-Jul-10,ODI # 3005
Ireland,Kenya,Ireland,7 wickets,Rotterdam,1-Jul-10,ODI # 3006
Netherlands,Scotland,Scotland,1 wicket,Amstelveen,1-Jul-10,ODI # 3007
Afghanistan,Ireland,Ireland,39 runs,Rotterdam,"Jul 3-4, 2010",ODI # 3008
Canada,Scotland,Scotland,69 runs,Amstelveen,3-Jul-10,ODI # 3009
Netherlands,Kenya,Netherlands,117 runs,The Hague,3-Jul-10,ODI # 3010
England,Australia,Australia,42 runs,Lord's,3-Jul-10,ODI # 3011
Afghanistan,Kenya,Afghanistan,1 wicket,Amstelveen,5-Jul-10,ODI # 3012
Ireland,Scotland,Ireland,5 wickets,The Hague,5-Jul-10,ODI # 3013
Netherlands,Canada,Netherlands,7 wickets,Rotterdam,5-Jul-10,ODI # 3014
Canada,Ireland,Ireland,5 wickets,Amstelveen,7-Jul-10,ODI # 3015
Kenya,Scotland,Scotland,6 runs,Rotterdam,7-Jul-10,ODI # 3016
Netherlands,Afghanistan,Afghanistan,6 wickets,The Hague,7-Jul-10,ODI # 3017
England,Bangladesh,England,6 wickets,Nottingham,8-Jul-10,ODI # 3018
Afghanistan,Scotland,Scotland,2 wickets,Rotterdam,9-Jul-10,ODI # 3019
Canada,Kenya,Canada,6 wickets,Schiedam,9-Jul-10,ODI # 3020
Netherlands,Ireland,Ireland,39 runs,Amstelveen,9-Jul-10,ODI # 3021
Canada,Kenya,Canada,3 wickets,Schiedam,10-Jul-10,ODI # 3022
Ireland,Scotland,Ireland,6 wickets,Amstelveen,10-Jul-10,ODI # 3023
Netherlands,Afghanistan,Afghanistan,5 wickets,Rotterdam,10-Jul-10,ODI # 3024
England,Bangladesh,Bangladesh,5 runs,Bristol,10-Jul-10,ODI # 3025
England,Bangladesh,England,144 runs,Birmingham,12-Jul-10,ODI # 3026
Ireland,Bangladesh,Ireland,7 wickets,Belfast,15-Jul-10,ODI # 3027
Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,16-Jul-10,ODI # 3028
Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,20-Jul-10,ODI # 3029
India,New Zealand,New Zealand,200 runs,Dambulla,10-Aug-10,ODI # 3030
Sri Lanka,New Zealand,Sri Lanka,3 wickets,Dambulla,13-Aug-10,ODI # 3031
Sri Lanka,India,India,6 wickets,Dambulla,16-Aug-10,ODI # 3032
Scotland,Afghanistan,Afghanistan,9 wickets,Ayr,16-Aug-10,ODI # 3033
Ireland,Netherlands,Ireland,70 runs,Dublin,16-Aug-10,ODI # 3034
Scotland,Afghanistan,Scotland,6 wickets,Ayr,17-Aug-10,ODI # 3035
Ireland,Netherlands,Ireland,9 wickets,Dublin,18-Aug-10,ODI # 3036
Sri Lanka,New Zealand,no result,,Dambulla,"Aug 19-20, 2010",ODI # 3037
Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,22-Aug-10,ODI # 3038
India,New Zealand,India,105 runs,Dambulla,25-Aug-10,ODI # 3039
Sri Lanka,India,Sri Lanka,74 runs,Dambulla,28-Aug-10,ODI # 3040
Canada,Ireland,Canada,4 runs,Toronto,6-Sep-10,ODI # 3041
Canada,Ireland,Ireland,92 runs,Toronto,7-Sep-10,ODI # 3042
England,Pakistan,England,24 runs,Chester-le-Street,10-Sep-10,ODI # 3043
England,Pakistan,England,4 wickets,Leeds,12-Sep-10,ODI # 3044
England,Pakistan,Pakistan,23 runs,The Oval,17-Sep-10,ODI # 3045
England,Pakistan,Pakistan,38 runs,Lord's,20-Sep-10,ODI # 3046
England,Pakistan,England,121 runs,Southampton,22-Sep-10,ODI # 3047
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,26-Sep-10,ODI # 3048
Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,28-Sep-10,ODI # 3049
Zimbabwe,Ireland,Ireland,20 runs,Harare,30-Sep-10,ODI # 3050
Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,5-Oct-10,ODI # 3051
Kenya,Afghanistan,Kenya,92 runs,Nairobi (Gym),7-Oct-10,ODI # 3052
Kenya,Afghanistan,Afghanistan,6 wickets,Nairobi (Gym),9-Oct-10,ODI # 3053
Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,11-Oct-10,ODI # 3054
Kenya,Afghanistan,Kenya,8 wickets,Nairobi (Gym),11-Oct-10,ODI # 3055
Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,14-Oct-10,ODI # 3056
South Africa,Zimbabwe,South Africa,64 runs,Bloemfontein,15-Oct-10,ODI # 3057
Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka,17-Oct-10,ODI # 3058
South Africa,Zimbabwe,South Africa,8 wickets,Potchefstroom,17-Oct-10,ODI # 3059
India,Australia,India,5 wickets,Visakhapatnam,20-Oct-10,ODI # 3060
South Africa,Zimbabwe,South Africa,272 runs,Benoni,22-Oct-10,ODI # 3061
Pakistan,South Africa,South Africa,8 wickets,Abu Dhabi,29-Oct-10,ODI # 3062
Pakistan,South Africa,Pakistan,1 wicket,Abu Dhabi,31-Oct-10,ODI # 3063
Pakistan,South Africa,South Africa,2 runs,Dubai (DSC),2-Nov-10,ODI # 3064
Australia,Sri Lanka,Sri Lanka,1 wicket,Melbourne,3-Nov-10,ODI # 3065
Australia,Sri Lanka,Sri Lanka,29 runs,Sydney,5-Nov-10,ODI # 3066
Pakistan,South Africa,Pakistan,1 wicket,Dubai (DSC),5-Nov-10,ODI # 3067
Australia,Sri Lanka,Australia,8 wickets,Brisbane,7-Nov-10,ODI # 3068
Pakistan,South Africa,South Africa,57 runs,Dubai (DSC),8-Nov-10,ODI # 3069
India,New Zealand,India,40 runs,Guwahati,28-Nov-10,ODI # 3070
Bangladesh,Zimbabwe,Zimbabwe,9 runs,Dhaka,1-Dec-10,ODI # 3071
India,New Zealand,India,8 wickets,Jaipur,1-Dec-10,ODI # 3072
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,3-Dec-10,ODI # 3073
India,New Zealand,India,9 wickets,Vadodara,4-Dec-10,ODI # 3074
Bangladesh,Zimbabwe,Bangladesh,65 runs,Dhaka,6-Dec-10,ODI # 3075
India,New Zealand,India,5 wickets,Bengaluru,7-Dec-10,ODI # 3076
India,New Zealand,India,8 wickets,Chennai,10-Dec-10,ODI # 3077
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chattogram,12-Dec-10,ODI # 3078
